Filename,original,MscSgl,MscPlu,FemSgl,FemPlu
Angsty,sad,trist,triști,tristă,triste
Angsty,despairing,disperat,disperați,disperată,disperate
Angsty,depressed,deprimat,deprimați,deprimată,deprimate
Angsty,empty,gol,goi,goală,goale
Angsty,solitary,solitar,solitai,solitară,solitare
Angsty,distant,distant,distanți,distantă,distante
Angsty,contemplative,contemplativ,contemplativi,contemplativă,contemplative
Angsty,mindful,grijuliu,grijulii,grijulie,grijulii
Angsty,lonely,singuratic,singuratici,singuratică,singuratice
Angsty,isolated,izolat,izolați,izolată,izolate
Angsty,silent,tăcut,tăcuți,tăcută,tăcute
Angsty,detached,detașat,detașați,detașată,detașate
Angsty,lonesome,singuratic,singuratici,singuratică,singuratice
Angsty,quiet,liniștit,liniștiți,liniștită,liniștite
Angsty,desolated,desolat,desolați,desolată,desolate
Angsty,destroyed,distrus,distruși,distrusă,distruse
Angsty,devastated,devastat,devastați,devastată,devastate
Angsty,exhausted,epuizat,epuizați,epuizată,epuizate
Angsty,defeated,învins,învinși,învinsă,învinse
Angsty,dead,mort,morți,moartă,moarte
Angsty,desirous,dornic,dornici,dornică,dornice
Angsty,seductive,seducător,seducători,seducătoare,seducătoare
Angsty,needy,nevoiaș,nevoiași,nevoiașă,nevoiașe
Angsty,indebted,îndatorat,îndatorați,îndatorată,îndatorate
Angsty,hard,greu,grei,grea,grele
Angsty,helpless,neajutorat,neajutorați,neajutorată,neajutorate
Angsty,scarce,rar,rari,rară,rare
Angsty,thirsty,însetat,însetați,însetată,însetate
Angsty,hungry,flămând,flămânzi,flămândă,flămânde
Badass,notorious,notoriu,notorii,notorie,notorii
Badass,deadly,mortal,mortali,mortală,mortale
Badass,deep,adânc,adânci,adâncă,adânci
Badass,poison,otrăvitor,otrăvitori,otrăvitoare,otrăvitoare
Badass,jagged,zimțat,zimțati,zimțată,zimțate
Badass,loyal,loial,loiali,loială,loiale
Badass,unstoppable,de neoprit,de neoprit,de neoprit,de neoprit
Badass,animal,animal,animali,animală,animale
Badass,bloody,sângeros,sângeroși,sângeroasă,sângeroase
Badass,stonefaced,cu fața de piatră,cu fețele de piatră,cu fața de piatră,cu fețe de piatră
Badass,ghostface,cu față de fantomă,cu fațe de fantomă,cu față de fantomă,cu fețe de fantomă
Badass,suicidal,sinucigaș,sinucigași,sinucigașă,sinucigașe
Badass,manic,maniacal,maniacali,maniacală,maniacale
Badass,crazy,nebun,nebuni,nebună,nebune
Badass,wild,sălbatic,sălbatici,sălbatică,sălbatice
Badass,burning,arzător,arzător,arzătoare,arzătoare
Badass,murderous,criminal,criminal,criminală,criminale
Badass,fearful,înfricoșător,înfricoșător,înfricoșătoare,înfricoșătoare
Badass,terrifying,terifiant,terifiant,terifiantă,terifiante
Badass,smoky,afumat,afumați,afumată,afumate
Badass,nutty,aiurit,aiuriți,aiurită,aiurite
Badass,killer,ucigaș,ucigași,ucigașă,ucigașe
Badass,dark,întunecat,întunecați,întunecată,întunecate
Badass,furious,furios,furioși,furioasă,furioase
Badass,angry,furios,furioși,furioasă,furioase
Badass,savage,sălbatic,sălbatici,sălbatică,sălbatice
Badass,blank,gol,goi,goală,goale
Badass,emotionless,fără emoții,fără emoții,fără emoții,fără emoții
Badass,mindless,fără minte,fără minte,fără minte,fără minte
Badass,awesome,minunat,minunați,minunată,minunate
Badass,epic,epic,epici,epică,epice
Badass,murderous,criminal,criminali,criminală,criminale
Badass,supreme,suprem,supremi,supremă,supreme
Badass,extreme,extrem,extremi,extremă,extreme
Badass,mad,înfuriat,înfuriați,înfuriată,înfuriate
Badass,sharp,ascuțit,ascuțiți,ascuțită,ascuțite
Badass,bladed,spinos,spinoși,spinoasă,spinoase
Curious,great,măreț,măreți,măreață,măreațe
Curious,natural,natural,naturali,naturală,naturale
Curious,idle,inactiv,inactivi,inactivă,inactive
Curious,insatiable,nesătul,nesătuli,nesătulă,nesătule
Curious,intense,intens,intenși,intensă,intense
Curious,lively,plin de viață,plini de viață,plină de viață,pline de viață
Curious,greatest,cel mai mare,cei mai mari,cea mai mare,cele mai mari
Curious,simple,simplu,simpli,simplă,simple
Curious,genuine,autentic,autentici,autentică,autentice
Curious,pure,pur,puri,pură,pure
Curious,exciting,entuziasmant,entuziasmanți,entuziasmantă,entuziasmante
Curious,strange,ciudat,ciudați,ciudată,ciudate
Curious,universal,universal,universali,universală,universale
Curious,boundless,fără limite,fără limite,fără limite,fără limite
Curious,immense,imens,imenși,imensă,imense
Curious,laudable,lăudabil,lăudabili,lăudabilă,lăudabile
Curious,endless,nesfârșit,nesfârșiți,nesfârșită,nesfârșite
Friendly,friendly,prietenos,prietenoși,prietenoasă,prietenoase
Friendly,affectionate,afectuos,afectuoși,afectuoasă,afectuoase
Friendly,amiable,amabil,amabili,amabilă,amabile
Friendly,amicable,prietenos,prietenoși,prietenoasă,prietenoase
Friendly,beneficial,benefic,benefici,benefică,benefice
Friendly,chummy,prietenos,prietenoși,prietenoasă,prietenoase
Friendly,cordial,cordial,cordiali,cordială,cordiale
Friendly,familiar,familiar,familiari,familiară,familiare
Friendly,helpful,util,utili,utilă,utile
Friendly,neighborly,vecinic,vecinici,vecinică,vecinice
Friendly,peaceful,pașnic,pașnici,pașnică,pașnice
Friendly,receptive,receptiv,receptivi,receptivă,receptive
Friendly,sympathetic,înțelegător,înțelegători,înțelegătoare,înțelegătoare
Friendly,welcoming,primitor,primitori,primitoare,primitoare
Friendly,kind,amabil,amabili,amabilă,amabile
Friendly,sociable,sociabil,sociabili,sociabilă,sociabile
Friendly,tender,tandru,tandri,tandră,tandre
Friendly,benevolent,binevoitor,binevoitori,binevoitoare,binevoitoare
Friendly,benign,benign,benigni,benignă,benigne
Friendly,civil,civilizat,civilizați,civilizată,civilizate
Friendly,comradely,camaraderesc,camaraderești,camaraderească,camaraderești
Friendly,fond,afectuos,afectuoși,afectuosă,afectuose
Friendly,genial,genial,geniali,genială,geniale
Friendly,kindly,amabil,amabili,amabilă,amabile
Friendly,peaceable,pașnic,pașnici,pașnică,pașnice
Friendly,solicitous,solicitant,solicitanți,solicitantă,solicitante
Friendly,approachable,abordabil,abordabili,abordabilă,abordabile
Friendly,courteous,curtenitor,curtenitori,curtenitoară,curtenitoare
Friendly,gentle,blând,blânzi,blândă,blânde
Friendly,pleasant,plăcut,plăcuți,plăcută,plăcute
Friendly,polite,politicos,politicoși,politicoasă,politicoase
Friendly,considerate,considerativ,considerativi,considerativă,considerative
Friendly,diplomatic,diplomatic,diplomatici,diplomatică,diplomatice
Friendly,gracious,grațios,grațioși,grațioasă,grațioase
Friendly,respectful,respectuos,respectuoși,respectuoasă,respectuoase
Friendly,thoughtful,grijuliu,grijulii,grijulie,grijulii
Friendly,attentive,atent,atenți,atentă,atente
Friendly,tactful,tacticos,tacticoși,tacticoasă,tacticoase
Friendly,gallant,galant,galanți,galantă,galante
Friendly,indulgent,indulgent,indulgenți,indulgentă,indulgente
Large,large,mare,mari,mare,mari
Large,massive,masiv,masivi,masivă,masive
Large,colossal,colosal,colosali,colosală,colosale
Large,enormous,enorm,enormi,enormă,enorme
Large,extensive,extins,extinși,extinsă,extinse
Large,gargantuan,gargantuan,gargantuani,gargantuană,gargantuane
Large,gigantic,gigantic,gigantici,gigantică,gigantice
Large,grand,mare,mari,mare,mari
Large,huge,uriaș,uriași,uriașă,uriașe
Large,immense,imens,imenși,imensă,imense
Large,imposing,impunător,impunători,impunătore,impunătore
Large,mammoth,mamut,mamuți,mamută,mamute
Large,impressive,impresionant,impresionanți,impresionantă,impresionante
Large,monumental,monumental,monumentali,monumentală,monumentale
Large,substantial,substanțial,substanțiali,substanțială,substanțiale
Large,towering,impunător,impunători,impunătoare,impunătoare
Large,tremendous,extraordinar,extraordinari,extraordinară,extraordinare
Large,vast,vast,vaști,vastă,vaste
Large,hulking,uriaș,uriași,uriașă,uriașe
Large,mighty,măreț,măreți,măreață,mărețe
Large,monstrous,monstruos,monstruoși,monstruoasă,monstruoase
Large,titanic,titanic,titanici,titanică,titanice
Natural,big,mare,mari,mare,mari
Natural,rough,dur,duri,dură,dure
Natural,harsh,aspru,aspri,aspră,aspre
Natural,tall,înalt,înalți,înaltă,înalte
Natural,sharp,ascuțit,ascuțiți,ascuțită,ascuțite
Natural,craggy,aspru,aspri,aspră,aspre
Natural,free,liber,liberi,liberă,libere
Natural,prime,principal,principali,principală,principale
Natural,small,mică,mici,mică,mici
Natural,old,vechi,vechi,vechi,vechi
Natural,round,rotund,rotunzi,rotundă,rotunde
Natural,strange,ciudat,ciudați,ciudată,ciudate
Natural,wise,înțelept,înțelepți,înțeleptă,înțelepte
Natural,icy,înghețat,înghețați,înghețată,înghețate
Natural,bad,rău,răi,rea,rele
Natural,good,bun,buni,bună,bune
Natural,far,depărtat,depărtați,depărtată,depărtate
Natural,dead,mort,morți,moartă,moarte
Natural,hardy,tare,tari,tare,tari
PoliticalUnions,democratic,democratic,democratici,democratică,democratice
PoliticalUnions,national,național,naționali,națională,naționale
PoliticalUnions,republican,republican,republicani,republicană,republicane
PoliticalUnions,soverign,suveran,suverani,suverană,suverane
PoliticalUnions,essential,esențial,esențiali,esențială,esențiale
PoliticalUnions,free,liber,liberi,liberă,libere
PoliticalUnions,traveling,călător,călători,călătoare,călătoare
PoliticalUnions,republican,republican,republicani,republicană,republicane
PoliticalUnions,pan-global,pan-global,pan-globali,pan-globală,pan-globale
PoliticalUnions,constitutional,constituțional,constituționali,constituțională,constituționale
PoliticalUnions,documented,documentat,documentați,documentată,documentate
PoliticalUnions,eternal,etern,eterni,eternă,eterne
PoliticalUnions,egalatarian,egalitarist,egalitariști,egalitaristă,egalitariste
PoliticalUnions,equal,egal,egali,egală,egale
PoliticalUnions,friendly,prietenos,prietenoși,prietenoasă,prietenoase
PoliticalUnions,individualistic,individualist,individualiști,individualistă,individualiste
PoliticalUnions,independent,independent,independenți,independentă,independente
PoliticalUnions,nonpartisan,nepartizan,nepartizani,nepartizană,nepartizane
PoliticalUnions,autarchic,autarhic,autarhici,autarhică,autarhice
PoliticalUnions,nonaligned,nealiniat,nealiniați,nealiniată,nealiniate
PoliticalUnions,separated,separat,separați,separată,separate
PoliticalUnions,libertarian,libertarian,libertariani,libertariană,libertariane
PoliticalUnions,self-ruling,autoguvernat,autoguvernați,autoguvernată,autoguvernate
PoliticalUnions,self-governing,autoguvernat,autoguvernați,autoguvernată,autoguvernate
PoliticalUnions,self-determining,autodeterminant,autodeterminanți,autodeterminantă,autodeterminante
PoliticalUnions,uncontrolled,necontrolat,necontrolați,necontrolată,necontrolate
PoliticalUnions,kingless,fără rege,fără regi,fără rege,fără regi
PoliticalUnions,agreed,convenit,conveniți,convenită,convenite
PoliticalUnions,popular,popular,populari,populară,populare
PoliticalUnions,populist,populist,populiști,populistă,populiste
PoliticalUnions,people's,oamenilor,oamenilor,oamenilor,oamenilor
PoliticalUnions,common,comun,comuni,comună,comune
PoliticalUnions,communal,comunal,comunali,comunală,comunale
PoliticalUnions,liberal,liberal,liberali,liberală,liberale
PoliticalUnions,social,social,sociali,socială,sociale
PoliticalUnions,conservative,conservator,conservatori,conservatoare,conservatoare
PoliticalUnions,principled,principiat,principiați,principiată,principiate
PoliticalUnions,moral,moral,morali,morală,morale
PoliticalUnions,people's,oamenilor,oamenilor,oamenilor,oamenilor
PoliticalUnions,man's,omului,omului,omului,omului
PoliticalUnions,manifest,,,,
PoliticalUnions,orderly,ordonat,ordonați,ordonată,ordonate
PoliticalUnions,autonomous,autonom,autonomi,autonomă,autonome
PoliticalUnions,non-technologist,non-tehnologist,non-tehnologiști,non-tehnologistă,non-tehnologiste
PoliticalUnions,humanlike,asemănător cu omul,asemănători cu omul,asemănătoare cu omul,asemănătoare cu omul
PoliticalUnions,humanitarian,umanitar,umanitari,umanitară,umanitare
PoliticalUnions,organic,organic,organici,organică,organice
PoliticalUnions,strong,puternic,puternici,puternică,puternice
PoliticalUnions,secure,sigur,siguri,sigură,sigure
PoliticalUnions,complete,complet,compleți,completă,complete
PoliticalUnions,planet's,planetar,planetari,planetară,planetare
PoliticalUnions,planetary,mondial,mondiali,mondială,mondiale
PoliticalUnions,world,,,,
PoliticalUnions,world's,,,,
CompassDirections,northern,nordic,nordici,nordică,nordice
CompassDirections,northeastern,nord-estic,nord-estici,nord-estică,nord-estice
CompassDirections,eastern,estic,estici,estică,estice
CompassDirections,southeastern,sud-estic,sud-estici,sud-estică,sud-estice
CompassDirections,southern,sudic,sudici,sudică,sudice
CompassDirections,southwestern,sud-vestic,sud-vestici,sud-vestică,sud-vestice
CompassDirections,western,vestic,vestici,vestică,vestice
CompassDirections,northwestern,nord-vestic,nord-vestici,nord-vestică,nord-vestice
Colors,red,roșu,roși,roșie,roși
Colors,blue,albastru,albaștrii,albastră,albastre
Colors,green,verde,verzi,verde,verzi
Colors,purple,violet,violeți,violet,violete
Colors,black,negru,negrii,neagră,negre
Colors,white,alb,albi,albă,albe
Colors,gray,gri,gri,gri,gri
Colors,orange,portocaliu,portocalii,portocalie,portocalii
Colors_Badass,red,roșu,roșii,roșie,roșii
Colors_Badass,black,negru,negri,neagră,negre
Colors_Badass,gray,gri,gri,gri,gri
Colors_Badass,ash,cenușiu,cenușii,cenușie,cenușii
Colors_Badass,dark,întunecat,întunecați,întunecată,întunecate
Colors_Badass,shadow,umbros,umbroși,umbroasă,umbroase
Colors_Badass,night,nocturn,nocturni,nocturnă,nocturne